datetime,Vol_lo_bid,Vol_lo_ask,Vol_c_bid,Vol_c_ask,Vol_ex_bid,Vol_ex_ask,date,time
2017-03-13 09:30:00,0.050000000000000,0.060123456789012,0.059876543210987,0.081234567890123,0.079123456789012,0.051234567890123,2017-03-13,09:30:00
2017-03-13 09:35:00,0.048567890123456,0.058345678901234,0.061234567890123,0.083456789012345,0.081234567890123,0.049876543210987,2017-03-13,09:35:00
2017-03-13 09:40:00,0.052134567890123,0.062456789012345,0.058765432109876,0.079123456789012,0.078456789012345,0.052345678901234,2017-03-13,09:40:00
2017-03-13 09:45:00,0.051789012345678,0.061789012345678,0.060123456789012,0.082345678901234,0.080123456789012,0.050987654321098,2017-03-13,09:45:00
2017-03-13 09:50:00,0.049234567890123,0.059234567890123,0.059345678901234,0.081567890123456,0.079234567890123,0.051567890123456,2017-03-13,09:50:00
2017-03-13 09:55:00,0.050987654321098,0.060987654321098,0.061456789012345,0.083789012345678,0.081456789012345,0.049234567890123,2017-03-13,09:55:00
2017-03-13 10:00:00,0.052456789012345,0.062456789012345,0.058234567890123,0.080234567890123,0.078234567890123,0.052678901234567,2017-03-13,10:00:00
2017-03-13 10:05:00,0.048789012345678,0.058789012345678,0.060567890123456,0.082567890123456,0.080567890123456,0.050345678901234,2017-03-13,10:05:00
2017-03-13 10:10:00,0.051123456789012,0.061123456789012,0.059789012345678,0.081789012345678,0.079789012345678,0.051789012345678,2017-03-13,10:10:00
2017-03-13 10:15:00,0.050345678901234,0.060345678901234,0.060234567890123,0.082234567890123,0.080234567890123,0.049567890123456,2017-03-13,10:15:00
2017-03-13 10:20:00,0.049876543210987,0.059876543210987,0.061123456789012,0.083123456789012,0.081123456789012,0.051234567890123,2017-03-13,10:20:00
2017-03-13 10:25:00,0.052234567890123,0.062234567890123,0.058567890123456,0.080567890123456,0.078567890123456,0.050876543210987,2017-03-13,10:25:00
2017-03-13 10:30:00,0.051567890123456,0.061567890123456,0.060345678901234,0.082345678901234,0.080345678901234,0.052123456789012,2017-03-13,10:30:00
2017-03-13 10:35:00,0.048123456789012,0.058123456789012,0.059123456789012,0.081123456789012,0.079123456789012,0.049345678901234,2017-03-13,10:35:00
2017-03-13 10:40:00,0.050789012345678,0.060789012345678,0.061345678901234,0.083345678901234,0.081345678901234,0.051678901234567,2017-03-13,10:40:00
2017-03-13 10:45:00,0.052345678901234,0.062345678901234,0.058345678901234,0.080345678901234,0.078345678901234,0.050234567890123,2017-03-13,10:45:00
2017-03-13 10:50:00,0.049567890123456,0.059567890123456,0.060123456789012,0.082123456789012,0.080123456789012,0.052345678901234,2017-03-13,10:50:00
2017-03-13 10:55:00,0.051234567890123,0.061234567890123,0.059567890123456,0.081567890123456,0.079567890123456,0.049789012345678,2017-03-13,10:55:00
2017-03-13 11:00:00,0.050567890123456,0.060567890123456,0.060789012345678,0.082789012345678,0.080789012345678,0.051456789012345,2017-03-13,11:00:00
2017-03-13 11:05:00,0.048345678901234,0.058345678901234,0.058789012345678,0.080789012345678,0.078789012345678,0.050123456789012,2017-03-13,11:05:00
2017-03-13 11:10:00,0.051789012345678,0.061789012345678,0.061234567890123,0.083234567890123,0.081234567890123,0.052567890123456,2017-03-13,11:10:00
2017-03-13 11:15:00,0.052123456789012,0.062123456789012,0.059234567890123,0.081234567890123,0.079234567890123,0.049234567890123,2017-03-13,11:15:00
2017-03-13 11:20:00,0.049789012345678,0.059789012345678,0.060456789012345,0.082456789012345,0.080456789012345,0.051123456789012,2017-03-13,11:20:00
2017-03-13 11:25:00,0.050234567890123,0.060234567890123,0.058123456789012,0.080123456789012,0.078123456789012,0.050789012345678,2017-03-13,11:25:00
2017-03-13 11:30:00,0.051456789012345,0.061456789012345,0.061567890123456,0.083567890123456,0.081567890123456,0.052234567890123,2017-03-13,11:30:00
2017-03-13 11:35:00,0.048789012345678,0.058789012345678,0.059345678901234,0.081345678901234,0.079345678901234,0.049567890123456,2017-03-13,11:35:00
2017-03-13 11:40:00,0.050123456789012,0.060123456789012,0.060234567890123,0.082234567890123,0.080234567890123,0.051345678901234,2017-03-13,11:40:00
2017-03-13 11:45:00,0.052567890123456,0.062567890123456,0.058456789012345,0.080456789012345,0.078456789012345,0.050456789012345,2017-03-13,11:45:00
2017-03-13 11:50:00,0.049123456789012,0.059123456789012,0.061123456789012,0.083123456789012,0.081123456789012,0.051789012345678,2017-03-13,11:50:00
2017-03-13 11:55:00,0.051345678901234,0.061345678901234,0.059789012345678,0.081789012345678,0.079789012345678,0.049123456789012,2017-03-13,11:55:00
2017-03-13 12:00:00,0.050789012345678,0.060789012345678,0.060567890123456,0.082567890123456,0.080567890123456,0.052456789012345,2017-03-13,12:00:00
2017-03-13 12:05:00,0.048456789012345,0.058456789012345,0.058234567890123,0.080234567890123,0.078234567890123,0.050234567890123,2017-03-13,12:05:00
2017-03-13 12:10:00,0.051678901234567,0.061678901234567,0.061345678901234,0.083345678901234,0.081345678901234,0.051567890123456,2017-03-13,12:10:00
2017-03-13 12:15:00,0.052234567890123,0.062234567890123,0.059123456789012,0.081123456789012,0.079123456789012,0.049345678901234,2017-03-13,12:15:00
2017-03-13 12:20:00,0.049345678901234,0.059345678901234,0.060789012345678,0.082789012345678,0.080789012345678,0.052123456789012,2017-03-13,12:20:00
2017-03-13 12:25:00,0.050567890123456,0.060567890123456,0.058567890123456,0.080567890123456,0.078567890123456,0.050789012345678,2017-03-13,12:25:00
2017-03-13 12:30:00,0.051234567890123,0.061234567890123,0.061456789012345,0.083456789012345,0.081456789012345,0.051234567890123,2017-03-13,12:30:00
2017-03-13 12:35:00,0.048567890123456,0.058567890123456,0.059234567890123,0.081234567890123,0.079234567890123,0.049678901234567,2017-03-13,12:35:00
2017-03-13 12:40:00,0.050234567890123,0.060234567890123,0.060123456789012,0.082123456789012,0.080123456789012,0.051456789012345,2017-03-13,12:40:00
2017-03-13 12:45:00,0.052456789012345,0.062456789012345,0.058345678901234,0.080345678901234,0.078345678901234,0.050567890123456,2017-03-13,12:45:00
2017-03-13 12:50:00,0.049789012345678,0.059789012345678,0.061234567890123,0.083234567890123,0.081234567890123,0.051678901234567,2017-03-13,12:50:00
